Meal Type,Recipe name,Calories (kcal),Protein (g),Fats (g),Ingredients,Instructions,Estimated Cost (₹)
Snack,Hot Pimento Cheese Dip,166.2,2.9,5.2,"'1 (7 oz. g) can chipotle in adobo sauce', ' garlic clove, minced', 'Kosher salt', ' tsp. cornstarch', '1 (5 fl oz. ml) can evaporated milk (about cup plus 2 Tbsp)', '8 oz. ( g) sharp or extra-sharp Cheddar cheese, coarsely grated (about 2 cups)', '2 oz. ( g) cream cheese, roughly diced, at room temperature', ' cup ( g) mayonnaise', '1 (4 oz. g) jar diced pimento peppers, drained', ' tsp. Chipotle Pepper PurAe'","1. Put the chipotle peppers and adobo sauce in a small food processor or blender and blend until the mixture turns into a smooth purAe.
2. Set aside.
3. The chipotle purAe can be made in advance, stored in an airtight container, and refrigerated for up to 2 months.
4. On a cutting board, sprinkle the garlic with a large pinch of salt and gather it into a small mound.
5. Holding the blunt side of the knife with both hands, press and scrape the knifeAs sharp end, holding it at a slight angle, across the garlic mound to flatten it.
6. Repeat, dragging it across the garlic, until you have a smooth paste.
7. Set aside.
8. In a small bowl, mix the cornstarch and tsp. of the evaporated milk into a slurry.
9. Pour the rest of the evaporated milk into a medium saucepan and stir in the slurry.
10. Bring to a boil over medium-high heat, whisking constantly.
11. Turn the heat to low and add the Cheddar gradually by the handful, stirring until the Cheddar is melted and the mixture is smooth.
12. Add the cream cheese and whisk until it melts.
13. Stir in the mayonnaise, pimento peppers, tsp. of the chipotle purAe, and the garlic paste.
14. Season with salt.
15. Transfer to a serving bowl or keep it warm in a slow cooker and serve immediately.
16. To reheat the sauce, microwave it, stirring every seconds, until fully melted.",193.4
Dinner,Spiral Ham In The Slow Cooker,692.8,37.3,23.9,"'1 (6- to 7-pound) bone-in, hickory-smoked, uncured fully cooked ham', '5 medium parsnips, peeled and halved lengthwise', '5 medium carrots, peeled and halved lengthwise', '1 cup maple syrup', '2 cups unsweetened apple juice', ' cup packed dark brown sugar', ' cup smooth Dijon mustard', ' cup grainy Dijon mustard', '2 tablespoons apple cider vinegar', 'Kosher salt (if needed)'","1. Pour 3 cups of water into a 7-quart slow cooker.
2. Add the ham, cut-side up, as well as the parsnips and carrots.
3. Pour the maple syrup and apple juice over the ham, and sprinkle the brown sugar over the top.
4. Cook on high, uncovered, for to minutes, then cover the slow cooker and cook on low until the ham is tender, 3 to 4 hours.
5. Hams vary in size and tenderness, so be patient.
6. When itAs tender, the meat should come off the bone with very little resistance.
7. Taste a small piece for tenderness.
8. Transfer the ham and vegetables to a deep serving platter (reserve the liquid in the pot).
9. Use a pair of kitchen shears or scissors to cut the slices of ham off the bone and let them fall onto the platter.
10. Stir both kinds of mustard and the vinegar into the cooking liquid left in the slow cooker and taste for seasoningAthe sauce may or may not need salt.
11. Pour the liquid over the ham and vegetables, and serve.",204.46
Dinner,Butternut Squash And Apple Soup,567.3,17.5,24.1,"'6 slices bacon, cut crosswise into -inch pieces', '2 celery ribs, chopped', '1 carrot, chopped', '1 medium onion, chopped', ' teaspoon cinnamon', ' pound boiling potatoes', '2 medium Granny Smith apples (about pound total)', '1 pounds butternut squash, peeled, seeded, and cut into -inch pieces ( to 4 cups)', '2 cups reduced-sodium chicken stock or broth', '2 to cups water', 'Sour cream'","1. Cook bacon in a 6-quart heavy pot over medium heat, stirring occasionally, until crisp, then transfer with a slotted spoon to paper towels to drain, reserving 2 tablespoons fat in pot. (Add vegetable oil if your bacon is very lean and doesn't yield enough fat.) Cook celery, carrot, and onion in fat in pot over low heat, covered, stirring occasionally, until softened but not browned, to minutes.
2. Add cinnamon and cook, uncovered, stirring, 1 minute.
3. While vegetables are cooking, peel potatoes and coarsely chop.
4. Peel and core 1 apple and coarsely chop.
5. Stir squash, potato, chopped apple, stock, 2 cups water, 1 teaspoon salt and teaspoon pepper into onion mixture, then simmer, uncovered, stirring occasionally, until vegetables are very tender, to minutes.
6. Puree soup in 4 batches in a blender (use caution when blending hot liquids), then heat in cleaned pot over medium low heat, stirring occasionally. (Add additional cup water to thin, if necessary.) While soup is heating, cut enough of remaining apple into thin matchsticks (about 1 -inches long) to measure about cup.
7. Serve soup topped with sour cream, bacon, and apple matchsticks.
8. Cooks' Notes: Soup can be made 2 days ahead and chilled, covered once cooled.
9. Cooked bacon can be kept refrigerated in an airtight containerAreheat in a oven in a small baking pan.",233.55
Lunch,Caesar Salad Roast Chicken,456.3,29.9,23.9,"'8 anchovies, mashed to a paste', '8 garlic cloves, finely grated', '6 Tbsp. mayonnaise, divided', '1 Tbsp. Dijon mustard, plus more for serving', '2 Tbsp. extra-virgin olive oil, divided', ' tsp. freshly ground black pepper, plus more', '1 (-lb.) whole chicken or 4 chicken legs (thigh and drumstick; about 3 lb.)', 'Kosher salt', '8 medium shallots, unpeeled, halved lengthwise', '2 lemons, divided', '1 oz. Parmesan, finely grated', '4 oz. country-style bread, torn into ("") pieces', '2 romaine hearts, leaves separated, torn'","1. Place a rack in lower third of oven; preheat to .
2. Whisk anchovies, garlic, 3 Tbsp. mayonnaise, 1 Tbsp. mustard, 1 Tbsp. oil, and tsp. pepper in a small bowl.
3. Set aside 1 Tbsp. anchovy mayo in another small bowl.
4. Pat chicken dry; season outside and inside all over with salt.
5. Arrange breast side up in a cast-iron skillet and tuck wings underneath.
6. Arrange shallots around (if using legs, nestle under and around); season with salt and pepper.
7. Brush remaining anchovy mayo all over chicken, making sure to get it into the nooks and crannies, then brush shallots with any leftover anchovy mayo.
8. Place chicken in oven so legs are facing toward the back (this is the hottest part of the oven and will help the legs cook before the breast dries out) and roast until some anchovy mayo and fat begin to drip onto shallots, about minutes.
9. Remove from oven and, using tongs, turn shallots to coat in drippings.
10. Return skillet to oven and continue to roast chicken, stirring shallots once or twice, until golden brown and an instant-read thermometer inserted into the thickest part of breast registers , minutes.
11. If skin starts to get too dark on the top before chicken is done, tent area with foil, leaving the rest of the bird exposed.
12. If using chicken legs, start checking at minutes (a thermometer inserted right at the joint should register ).
13. Transfer chicken and shallots to a cutting board, leaving behind any juices and fat in skillet.
14. If shallots need more time to soften and darken, roast a bit longer without chicken before proceeding.
15. Reserve skillet.
16. Reduce oven temperature to .
17. Finely grate half of zest of 1 lemon into a large bowl; cut lemon in half and squeeze in juice.
18. Add reserved 1 Tbsp. anchovy mayo, remaining 3 Tbsp. mayo, and remaining 1 Tbsp. oil and whisk to combine, then stir in Parmesan.
19. Season with salt and pepper.
20. Set dressing aside.
21. Add bread to reserved skillet with fat and turn to coat.
22. Return skillet to oven and toast bread, tossing halfway through, until golden brown and crisp, minutes.
23. Transfer croutons to bowl with reserved dressing.
24. Add romaine and gently toss until lettuce is well coated.
25. Season salad with salt and pepper.
26. Slice remaining lemon into wedges.
27. Carve chicken and nestle back into skillet or transfer to a platter; arrange shallots and lemon wedges around.
28. Serve with salad and more mustard alongside.",347.34
Lunch,Chicken And Rice With Leeks And Salsa Verde,655.0,35.3,12.8,"' lb. skinless, boneless chicken thighs (4A8 depending on size)', 'Kosher salt, freshly ground pepper', '3 Tbsp. unsalted butter, divided', '2 large or 3 medium leeks, white and pale green parts only, halved lengthwise, thinly sliced', 'Zest and juice of 1 lemon, divided', ' cups long-grain white rice, rinsed until water runs clear', ' cups low-sodium chicken broth', '1 oil-packed anchovy fillet', '2 garlic cloves', '1 Tbsp. drained capers', 'Crushed red pepper flakes', '1 cup tender herb leaves (such as parsley, cilantro, andor mint)', '4A5 Tbsp. extra-virgin olive oil'","1. Season chicken with salt and pepper.
2. Melt 2 Tbsp. butter in a large high-sided skillet over medium-high heat.
3. Add leeks and half of lemon zest, season with salt and pepper, and mix to coat leeks in butter.
4. Reduce heat to medium-low, cover, and cook, stirring occasionally, until leeks are somewhat tender, about 5 minutes.
5. Remove lid, increase heat to medium-high, and cook, stirring occasionally, until tender and just starting to take on color, about 3 minutes.
6. Add rice and cook, stirring often, 3 minutes, then add broth, scraping up any browned bits.
7. Tuck short sides of each chicken thigh underneath so they are touching and nestle seam side down into rice mixture.
8. Bring to a simmer.
9. Cover, reduce heat to medium-low, and cook until rice is tender and chicken is cooked through, about minutes.
10. Remove from heat.
11. Cut remaining 1 Tbsp. butter into small pieces and scatter over mixture.
12. Re-cover and let sit minutes.
13. Meanwhile, pulse anchovy, garlic, capers, a few pinches of red pepper flakes, and remaining lemon zest in a food processor until finely chopped.
14. Add herbs; process until a paste forms.
15. With motor running, gradually stream in oil until loosened to a thick sauce.
16. Add half of lemon juice; season salsa verde with salt.
17. Drizzle remaining lemon juice over chicken and rice.
18. Serve with salsa verde.",330.29
Dinner,Gorditas Con Camarones,568.7,34.6,24.4,"'1A cups instant corn masa flour (such as Maseca)', '5 Tbsp. lard, melted, or vegetable oil, divided', ' tsp. Diamond Crystal or tsp. Morton kosher salt, divided, plus more', '4 guajillo or dried New Mexico chiles, stems and seeds removed', '2 morita chiles, stems removed, or 2 canned chipotle chiles in adobo', '1 tsp. ground coriander or cumin', ' lb. medium shrimp, peeled, deveined', '4 garlic cloves, thinly sliced', '2 sprigs thyme', '1 Tbsp. apple cider vinegar', '1 tsp. agave syrup or honey', '3 Tbsp. unsalted butter, cut into pieces', 'Sliced onion, sliced avocado, cilantro leaves with tender stems, and lime wedges (for serving)'","1. Stir masa, 1 Tbsp. lard, 1 tsp.
2. Diamond Crystal or tsp.
3. Morton salt, and 1 cup water in a medium bowl until a soft and slightly sticky dough forms.
4. If dry, mix in another 1 Tbsp. water.
5. Cover and let sit at least minutes and up to 3 hours.
6. Meanwhile, bring guajillo chiles, morita chiles, coriander, and cups water to a boil in a small saucepan.
7. Cover, remove from heat, and let sit, stirring occasionally, minutes to allow chiles to soften.
8. Transfer to a blender and purAe until smooth; set aside.
9. Place rack in lowest position in oven; preheat to .
10. Brush a rimmed baking sheet with 2 Tbsp. lard.
11. Divide dough into 4 pieces and form into balls.
12. Set on work surface and cover with a damp kitchen towel.
13. Place 1 ball between 2 sheets of parchment or wax paper.
14. Using a small skillet or saucepan, gently press ball into a 5""-diameter disk.
15. Carefully peel away parchment; place on prepared baking sheet.
16. Repeat with remaining balls.
17. Bake gorditas until outer edges are lightly golden, minutes.
18. Turn over and bake until golden brown and crisp, minutes.
19. Transfer to plates and let cool minutes.
20. Insert a paring knife into side of gordita and, using a slow sawing motion, cut open along one side (keep other side intact).
21. Heat remaining 2 Tbsp. lard in a large skillet over high.
22. Cook shrimp until lightly browned and just cooked through, about 1 minute per side.
23. Transfer to a medium bowl.
24. Reduce heat to medium and cook garlic in same skillet, tossing often, until beginning to brown, about 1 minute.
25. Add thyme sprigs, vinegar, agave, tsp.
26. Diamond Crystal or 1 tsp.
27. Morton kosher salt, and reserved chile purAe.
28. Cook, stirring occasionally, until brick red and the consistency of a thick sauce, 6A8 minutes.
29. Add shrimp and any juices and cook 1 minute.
30. Remove from heat; add butter and stir constantly until melted and sauce is glossy.
31. Season with more salt if needed.
32. Remove and discard thyme.
33. Fill gorditas with shrimp mixture, onion, avocado, and cilantro.
34. Serve with lime wedges for squeezing over.",356.6
Lunch,Enfrijoladas,596.8,17.0,17.6,"'5 Tbsp. vegetable oil, divided', '8 corn tortillas', ' oz. fresh chorizo', '3 garlic cloves, crushed', ' medium white onion, thinly sliced, plus more for serving', 'Kosher salt', '2 (-oz.) cans black beans, rinsed, or 3 cups Frijoles de la Olla, drained', ' cups low-sodium chicken broth', '6 oz. queso fresco or Cotija cheese, crumbled', 'Cilantro leaves with tender stems and sliced avocado (for serving)'","1. Using 2 Tbsp. oil, brush both sides of each tortilla.
2. Heat a large skillet over medium-high.
3. Working in batches, cook until lightly browned and starting to crisp, about 1 minute per side.
4. Set aside.
5. Heat remaining 3 Tbsp. oil in same skillet over medium-high.
6. Cook chorizo, breaking up with a wooden spoon, until browned and cooked through, 7A9 minutes.
7. Using a slotted spoon, transfer to a medium bowl; set aside.
8. Add garlic and onion to same skillet, season with salt, and cook, tossing occasionally, until tender and beginning to brown, 6A8 minutes.
9. Using slotted spoon, transfer garlic mixture to a blender; reserve pan with oil.
10. Add beans and broth to blender and purAe until smooth (it should be the consistency of yogurt); season with salt.
11. Set reserved pan over medium-high and heat oil.
12. Transfer bean purAe to skillet and bring to a boil.
13. Reduce heat to low.
14. Working one at a time and using tongs, dip tortillas in bean purAe, turning to coat and leaving until softened, about 3 seconds per side (they will soften more as they sit).
15. Transfer to a baking sheet as you go.
16. Spoon 1 Tbsp. chorizo and 1 Tbsp. queso fresco across the center of each tortilla; fold over like a taco.
17. Divide among plates and spoon remaining bean purAe over.
18. Top with cilantro, avocado, more onion, remaining chorizo, and remaining queso.",208.44
Snack,Caramelized Plantain Parfait,240.2,1.3,6.7,"'6 Tbsp. virgin coconut oil', '4 ripe (spotted) plAtanos manzanos or 2 large ripe (black) plantains, peeled, sliced in half lengthwise', 'Kosher salt', '3 cups plain unsweetened coconut milk yogurt or Greek yogurt', '2 ripe mangoes, thinly sliced', 'Toasted nuts, seeds, andor unsweetened shredded coconut (for serving)'","1. Heat oil in a large nonstick skillet over medium-high.
2. Cook plantains, turning once, until deep golden brown, about 3 minutes per side.
3. Transfer to paper towels to drain; season with salt.
4. Divide yogurt among bowls; top with plantains and mangoes, then nuts, seeds, andor coconut as desired.",134.76
Dinner,Chicken And Potato Gratin With Brown Butter Cream,536.9,26.6,12.1,"'3 lb. skin-on, bone-in chicken thighs and drumsticks', ' tsp. kosher salt, divided', '1 lb. small potatoes (such as fingerling or baby Yukon Gold), halved lengthwise', '8 oz. small or medium shallots, halved through root ends', '5 Tbsp. unsalted butter, divided', ' cup heavy cream', '2 garlic cloves, finely grated', ' tsp. freshly ground black pepper', ' tsp. freshly grated or ground nutmeg', '8 sprigs thyme', '8 sage leaves', ' oz. country-style bread, preferably day-old, torn into large pieces', '1 lemon, cut into wedges (optional)'","1. Season chicken all over with 4 tsp. salt.
2. Place in an airtight container and cover.
3. Chill at least 1 hour and up to 1 day.
4. Place a rack in middle of oven; preheat to .
5. Toss potatoes, shallots, and 2 tsp. salt in a large bowl.
6. Melt 4 Tbsp. butter in a small saucepan over medium heat and cook, stirring often, until butter foams, then browns, 5A8 minutes.
7. Immediately remove from heat (it will continue to darken) and stir in cream, garlic, pepper, nutmeg, and remaining tsp. salt.
8. Set saucepan over medium-low heat and cook, stirring, until salt is dissolved and mixture is warm to the touch.
9. Stir in thyme and sage; remove from heat.
10. Heat remaining 1 Tbsp. butter in a large stainless-steel skillet over medium-high until melted and bubbling.
11. Working in 2 batches, cook chicken, skin side down, until golden underneath, about 5 minutes.
12. Transfer chicken to a 13x9"" or 3-qt. baking dish and arrange skin side up.
13. Set skillet with pan drippings aside.
14. Nestle potatoes and shallots around chicken (donAt place on top).
15. Pour brown butter cream over chicken and vegetables, making sure herbs and spices are evenly dispersed and tucking herbs into vegetables so they donAt get too crispy when they bake.
16. Bake gratin until cream is mostly reduced and chicken and vegetables are dark golden brown, about minutes.
17. Let gratin cool minutes.
18. Meanwhile, pulse bread in a food processor until pieces are about oat-size (you should have about cups).
19. Toss breadcrumbs in pan drippings in reserved skillet to coat.
20. Cook over medium heat, scraping up browned bits with a spatula, until deep golden brown, 5A7 minutes.
21. Let cool.
22. To serve, top gratin with breadcrumbs.
23. Serve lemon wedges alongside for squeezing over if desired.",265.67
Dinner,Roasted Beets With Crispy Sunchokes And Pickled Orange-Ginger Puraae,530.6,37.3,27.1,"'Strips of zest (no pith) from 1 medium orange', ' ounces fresh ginger (about one 5-inch piece), peeled and thinly shaved (use a mandoline if you have one)', ' cup fresh lime juice', ' cup champagne vinegar', ' cup sugar', '2 tablespoons plus teaspoon kosher salt', '2 tablespoons extra-virgin olive oil', ' Thai chile, with seeds', ' pounds beets (use a mix of colors if possible), about 5 medium', ' cup extra-virgin olive oil', ' cup white wine vinegar', ' cup water', 'Kosher salt and freshly ground black pepper', '1 tablespoon extra-virgin olive oil', ' cup roughly chopped cashews', '4 large sunchokes, thinly shaved (use a mandoline if you have one)', 'Vegetable oil', 'Kosher salt', '1 medium orange', 'Roasted Beets', 'Extra-virgin olive oil', 'Kosher salt', ' cup Pickled Orange-Ginger Puree', 'Toasted Cashews', '1 tablespoon roughly chopped tarragon', '1 tablespoon roughly chopped dill fronds', 'Sunchoke Chips'","1. Place the zest strips in a small saucepan and cover with water.
2. Bring the water to a boil, then drain.
3. Repeat this process two more times (blanching the orange zest removes any bitter flavors).
4. Place the ginger and orange zest in a jar or heatproof container.
5. In a saucepan, bring the lime juice, vinegar, sugar, and teaspoon salt to a boil.
6. Pour over the ginger and orange.
7. Let cool to room temperature, then cover and refrigerate overnight.
8. The pickled ginger can be refrigerated for a couple of months.
9. Drain the pickled ginger and orange and save 3 tablespoons of the pickling liquid.
10. Add both to a blender or mini food processor, along with the olive oil, chile, and remaining 2 tablespoons salt.
11. Blend until very smooth, scraping down the side of the blender as needed.
12. Transfer to a container and refrigerate until ready to use.
13. The puree can be made a couple of days ahead. (Makes about 1 cup.) Preheat the oven to .
14. Place the beets in a baking dish (if using a mix of red and golden beets, separate them into two smaller dishes and divide the oil, vinegar, and water between the two dishes).
15. Drizzle with the oil and add the water and vinegar.
16. Season with salt and pepper.
17. Cover the pan with foil and roast until the beets are tender when pierced with a knife; this can take anywhere from minutes to an hour, depending on the thickness of the beets.
18. Let the beets cool, then peel and cut into 1-inch wedges.
19. Place each color of beet, along with any accumulated juices, into a small mixing bowl.
20. In a skillet, heat the oil over medium-low heat.
21. Add the cashews and cook, stirring constantly, until golden brown.
22. Transfer to a heat-proof bowl.
23. Pour 1 inch of oil into a small saucepan and add the sunchokes (there should be just enough oil to cover the sunchokes; add more oil if needed).
24. Turn the heat to medium and stir occasionally; when the sunchokes begin to sizzle and foam, increase the temperature to high and continue frying, stirring constantly, until the sunchokes are light golden brown.
25. At this point the sunchokes will rapidly go from golden brown to burnt, so quickly transfer the chips to paper towels to drain.
26. Lightly season with salt.
27. The sunchoke chips can be stored in an airtight container at room temperature for a day or two, or until they start to soften. (Makes about cup.) Using a sharp knife, cut the peel and pith off the orange.
28. Working over a bowl, cut the orange between the membranes to release the segments.
29. Dice the segments, then return them to the bowl.
30. Drizzle the beet wedges with a little bit of olive oil, season with salt, and toss.
31. Spread the ginger puree on the bottom of a shallow serving bowl or plate.
32. Arrange the beets over the puree.
33. Sprinkle the chopped orange segments over the beets and grind some pepper over the dish.
34. Top with the cashews, herbs, and sunchoke chips.
35. Serve.",422.57
Lunch,Kale And Pumpkin Falafels With Pickled Carrot Slaw,548.1,29.6,18.1,"' cup (120g or oz) toasted pepitas (pumpkin seeds)', '3 cups (90g or 3 oz) shredded kale, stems removed (about 3 large leaves)', '1 clove garlic, crushed', '1 ( oz or 400g ) can chickpeas (garbanzo beans), rinsed, drained', ' teaspoons ground turmeric', ' cup (6g or oz) coriander (cilantro) leaves', 'Sea salt and cracked black pepper', '3 cups (450g or 1 lb) firmly packed grated pumpkin', 'Extra virgin olive oil, for brushing', 'Plain Greek-style yogurt and hulled tahini, to serve', '6 carrots, shredded using a julienne peeler', '2 tablespoons apple cider vinegar', '2 tablespoons honey', '2 large red chiles, sliced', ' cup (6g or oz) coriander (cilantro) leaves'","1. Preheat oven to ().
2. Place the pepitas into the bowl of a food processor and process until finely chopped.
3. Add the kale, garlic, chickpeas, turmeric, coriander, salt and pepper and process until well combined.
4. Add the pumpkin and stir through to combine.
5. Shape large tablespoonfuls of pumpkin mixture into balls.
6. Place on a baking tray lined with non-stick baking paper and flatten slightly.
7. Brush well with oil, then bake for minutes or until golden and crisp.
8. To make the pickled carrot slaw, place the carrots, vinegar, honey, chile and coriander in a bowl and toss to combine.
9. Set aside for 5 minutes to pickle.
10. To serve, divide the pickled carrot slaw between bowls and top with pumpkin falafels and serve with yoghurt and tahini.",310.55
Lunch,Maple And Chile Roasted Squash With Quinoa Tabouli,485.4,27.7,29.5,"'1 (2kg or 4 lb or 4 oz) butternut squash or 2 (1kg or 2 lb or 3 oz) butternut squash, halved', '2 tablespoons extra virgin olive oil', '1 tablespoon pure maple syrup', '1 teaspoon chile flakes', 'Sea salt and cracked black pepper', ' cup (40g or 1 oz) roasted almonds, chopped', '2 cups (320g or oz) cooked quinoa', ' cup (8g or oz) torn mint leaves', '60g (2 oz) wild rocket (arugula) leaves', ' cup (140g or 5 oz) hulled tahini', 'A cup (160ml or 5 fl oz) lemon juice', '1 cup (250ml or 8 fl oz) water', '1 clove garlic, crushed', 'Sea salt flakes'","1. Preheat oven to ().
2. Scoop the seeds from the squash and discard.
3. Place squash, cut side up, onto a baking tray.
4. Using the tip of a sharp knife, make some shallow slashes into the squash flesh.
5. Combine the oil, maple, chile, salt and pepper and brush over the squash.
6. Cover with aluminium foil and roast for minutes.
7. Remove the foil and roast for a further minutes or until the squash is golden and soft.
8. To make the quinoa tabouli, in a large bowl combine the quinoa, mint, and arugula.
9. To make the lemon tahini dressing, in a small bowl, place the tahini, lemon juice, water, garlic and salt.
10. Mix to combine.
11. To serve, place the squash onto a serving platter and top with the tabouli.
12. Drizzle with the lemon tahini dressing and sprinkle over almonds.",287.13
Lunch,Chhena Poda Spiced Cheesecake,626.2,35.9,28.3,"'Ghee, for the cake pan', '8 ounces paneer, preferably homemade', ' cup confectionersA sugar', ' teaspoon ground cardamom', '2 tablespoons semolina', ' tablespoons ghee, store-bought or homemade', ' cup whole milk', '2 tablespoons roasted cashews', '2 tablespoons golden raisins', '3 tablespoons granulated sugar', 'Freshly whipped cream or sliced almonds (optional), for serving'","1. Preheat the oven to .
2. Butter a 9-inch nonstick metal cake pan with some ghee.
3. In a large bowl, stir together the paneer, confectionersA sugar, and cardamom until incorporated but still slightly chunky.
4. Add the semolina, ghee, and milk and whisk until smooth.
5. Stir in the cashews and raisins and set aside.
6. Sprinkle the granulated sugar over the bottom of the prepared cake pan.
7. Set the pan on the stove over medium heat and once the sugar just begins to bubble and turn pale golden brown (the sugar will continue to caramelize in the oven, so donAt let it get any darker right now), after 8 to minutes, remove the pan from the heat using tongs. (This step is a bit tricky and you might be tempted to move the sugar around with a spoon while it is bubbling, but donAt touch itAjust let it caramelize on its own.) You will know itAs ready for the cake batter when itAs bubbling but is still slightly grainy and just turning a pale golden color.
8. Pour the batter into the pan, using a rubber spatula to scrape the bowl clean.
9. It should settle into an even layer on its own, but if it doesnAt, use the spatula to create a smooth surface.
10. Wearing oven mitts, carefully transfer the pan to the oven and bake until a toothpick inserted into the center of the cake comes out clean, to minutes.
11. Transfer to a wire rack and cool in the pan to room temperature.
12. Run a paring knife around the cakeAs edges and then place a serving platter larger than the diameter of the cake over the cake and gently flip the cake overAit should slide out, with caramel coming out with it like you would see in a flan (though some caramel will be left in the panAthis is fine).
13. Slice and serve with freshly whipped cream or sliced almonds, if desired.
14. The cake will keep in a covered container in the refrigerator for up to 3 days.
15. Note: To clean the pan, add some boiling water to the pan and let it sit for at least minutes to loosen up the browned sugar sticking to the surface of the pan before cleaning it.",223.08
